ticker,score_date,physical_raw,physical_norm,physical_confidence,quality_score,quality_confidence,roic_wacc_spread,margin_snr,inflation_convexity,crowding_score,crowding_confidence,etf_correlation,trends_norm,short_pct,composite_score,composite_confidence,mu_estimate,sigma_estimate,kelly_fraction,kelly_25pct,entry_signal,exit_signal,autocorr_delta,absorption_delta,etf_corr_score,short_interest_score,swing_score,swing_confidence,rs_rank,breakout_score,vcp_score
LHX,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.4726,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.0522,0.0,0.0,0.0,0.3408,1.0,0.524,0.0937,0.4688
BAH,2026-04-20,2.0,0.999,1.0,1.0,0.3333,0.5888,,,0.4914,0.4239,,,,0.5081,0.5,0.1953,,,,False,False,0.0781,0.0,0.0,0.0,0.109,1.0,0.0144,0.0,0.5161
PLTR,2026-04-20,2.0,0.999,1.0,0.0,0.0,,45.8677,0.0068,0.3869,0.4239,,,,0.0,0.6322,0.0429,,,,False,True,-0.0661,0.0,0.0,0.0,0.2015,1.0,0.3462,0.0,0.3153
SAF.PA,2026-04-20,1.5,0.999,1.0,1.0,0.75,1.7122,72.6443,-0.0771,0.3163,0.4239,,,,0.683,0.8072,0.2359,,,,False,False,-0.1635,0.0,0.0,0.0,0.1869,1.0,0.3798,0.032,0.1109
MTX.DE,2026-04-20,1.5,0.999,1.0,0.0,0.0,,1.8003,-15.0071,0.4743,0.4239,,,,0.0,0.6322,0.031,,,,False,True,0.0287,0.0,0.1432,0.0,0.0856,1.0,0.125,0.0,0.1778
INDRA.MC,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.5,0.0,,,,,0.3233,,,,,False,False,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.5
BMI,2026-04-20,2.0,0.999,1.0,0.0,0.0,,29.9641,0.2387,0.6522,0.4239,,,,0.0,0.6322,0.0429,,,,False,True,0.3593,0.0,0.0,0.0,0.0294,1.0,0.0577,0.0,0.0317
SQM,2026-04-20,1.5,0.999,1.0,0.0995,0.75,0.0521,4.0383,1.5878,0.2955,0.4239,,,,0.07,0.8072,0.0639,,,,False,True,-0.3593,0.0,0.599,0.0,0.4159,1.0,0.7404,0.1992,0.2004
ERO.TO,2026-04-20,1.5,0.999,1.0,0.0,0.75,-0.1367,3.5185,-0.9966,0.5553,0.4239,,,,0.0,0.8072,0.0385,,,,False,True,0.1466,0.0,0.1098,0.0,0.4472,1.0,0.8654,0.0,0.5054
MU,2026-04-20,1.5,0.999,1.0,0.0,0.9167,0.0049,1.236,13.3328,0.5922,0.4239,,,,0.0,0.8461,0.0429,,,,False,True,0.2172,0.0,0.0,0.0,0.5997,1.0,0.9904,0.3235,0.3706
WOLF,2026-04-20,2.0,0.999,1.0,0.0,0.9167,-0.3926,0.8421,-3.9454,0.3905,0.4239,,,,0.0,0.7922,0.0429,,,,False,True,-0.155,0.0,0.5214,0.0,0.0936,0.637,0.1587,0.0,0.1504
ACLS,2026-04-20,1.5,0.999,1.0,0.0,0.0,,58.5333,0.0877,0.6033,0.4239,,,,0.0,0.6322,0.0429,,,,False,True,0.2326,0.0,0.0,0.0,0.5016,1.0,0.7788,0.3097,0.3312
